碳化晶体	4740
碳化钨	25110
富勒化合物	12975
酚合成物	349
超级突触纤维	132
小型护盾扩展装置 I	1
护盾回充器 I	7
采矿调查芯片组 I	10
损毁的触发机关	3
三钛合金条	1533
推进装置控制台	6
电力泵	35
能源电路	69
微电路	160
接口电路	89
单晶体超合金工字钢	46
传导性热塑塑料	17
推进器控制台	110
电容回充器 I	84
电容通量线圈 I	4
多谱式涂层 I	52
扩充货柜舱 I	91
强化舱隔壁 I	54
火箭燃料	976
超导体	458
传信器	60
微型电子元件	164
纳米纤维内部构架 I	242
普通小行星采集晶体C型 I	11
200mm钢附甲板 I	6
R.A.M. - 装甲/船体科技	610
R.A.M. - 弹药科技	277
R.A.M. - 能源科技	105
R.A.M. - 电子元件	60
R.A.M. - 护盾科技	27
纳米机械微处理器	91
碳化菲尔金属合成物附甲	52
迪波特钛合金附甲	52
碳化晶体附甲	143
引力子脉冲发生器	29
电磁发生器	60
中型远程护盾回充增量器 I	4
氢电池	10
中型引力子立体炸弹 I	1
