碳化晶体反应配方	136
菲尔合金碳化物反应配方	116
富勒化合物反应配方	28
鞭挞轻型导弹蓝图	6930
雷神轻型导弹蓝图	7
125mm加特林自动加农炮蓝图 I	445
280mm榴弹炮蓝图 I	1405
双联轻型集束激光器蓝图 I	55
碳铅弹蓝图 S	3059
质子弹蓝图 S	538
硬钼弹蓝图 S	3436
聚变弹蓝图 S	12374
定相等离子弹蓝图 L	5711
小型护盾扩展装置蓝图 I	1498
小型护盾回充增量器蓝图 I	193
5MN微型跃迁推进器蓝图 I	496
小型装甲维修器蓝图 I	156
小型能量中和器蓝图 I	133
75mm加特林磁轨炮蓝图 I	400
轻型电子疾速炮蓝图 I	125
轻型离子疾速炮蓝图 I	196
150mm磁轨炮蓝图 I	323
双联150mm磁轨炮蓝图 I	52
射频晶体蓝图 S	663
红外晶体蓝图 S	654
标准晶体蓝图 S	1230
紫外晶体蓝图 S	1055
X射线晶体蓝图 S	573
多频晶体蓝图 S	2806
红外晶体蓝图 M	576
标准晶体蓝图 M	2395
紫外晶体蓝图 M	610
多频晶体蓝图 M	2178
微波晶体蓝图 L	1484
标准晶体蓝图 L	1549
小型电容器电池蓝图 I	240
电容回充器蓝图 I	1
电容通量线圈蓝图 I	86
强化舱隔壁蓝图 I	226
反应堆控制元件蓝图 I	298
惯性稳定器蓝图 I	1738
电容能源继电器蓝图 I	186
能源诊断系统蓝图 I	7
大型电容器电池蓝图 I	27
地精灵蓝图 I	7520
中型装甲维修器蓝图 I	118
小型远程护盾回充增量器蓝图 I	48
火箭发射器蓝图 I	781
125mm磁轨炮蓝图 I	190
100mm钢附甲板蓝图 I	35
小型远程装甲维修器蓝图 I	53
索敌计算机蓝图 I	192
信号放大器蓝图 I	84
中型能量中和器蓝图 I	24
目标标记装置蓝图 I	271
巡航导弹发射器蓝图 I	226
全方位索敌连接蓝图 I	96
导弹制导增强器蓝图 I	87
导弹制导计算机蓝图 I	347
制导干扰器蓝图 I	46
冰雹蓝图 S	527
小型装甲维修器蓝图 II	1
极光蓝图 S	461
强化舱隔壁蓝图 II	226
能源诊断系统蓝图 II	7
小型远程装甲维修器蓝图 II	58
中型处理器超频组件蓝图 I	1
大型处理器超频组件蓝图 I	15
大型热能装甲强化装置蓝图 I	13
大型能量武器轨迹校准设备蓝图 I	9
大型爆炸护盾强化装置蓝图 I	5
小型处理器超频组件蓝图 I	1537
小型电磁装甲强化装置蓝图 I	15
中型远程维修增效器蓝图 I	61
小型能量武器范围扩大设备蓝图 I	4
小型能量武器发散调节装置蓝图 I	75
小型能量武器冲击加速器蓝图 I	66
中型能量武器冲击加速器蓝图 I	14
小型能量武器轨迹校准设备蓝图 I	170
小型能量武器急转控制器蓝图 I	6
小型混合武器范围扩大装置蓝图 I	9
小型混合武器射速调节装置蓝图 I	2
中型混合武器射速调节装置蓝图 I	21
中型混合武器冲击加速器蓝图 I	27
小型混合武器轨迹校准设备蓝图 I	92
中型混合武器轨迹校准设备蓝图 I	6
小型混合武器急转控制器蓝图 I	7
中型混合武器急转控制器蓝图 I	12
小型弹头加热辅助系统蓝图 I	1
小型弹头爆燃辅助系统蓝图 I	44
小型弹头强化辅助系统蓝图 I	59
小型射弹武器轨迹校准设备蓝图 I	690
小型热能护盾强化装置蓝图 I	8
中型核心防御力场扩张装置蓝图 I	438
小型核心防御力场稳固装置蓝图 I	81
小型核心防御操控稳定装置蓝图 I	11
小型横贯舱壁蓝图 I	10
小型电磁装甲强化装置蓝图 II	9
小型辅助推进器蓝图 II	184
小型能量武器范围扩大设备蓝图 II	7
中型能量武器范围扩大设备蓝图 II	1
小型能量武器发散调节装置蓝图 II	223
小型能量武器冲击加速器蓝图 II	106
小型能量武器轨迹校准设备蓝图 II	280
中型能量武器轨迹校准设备蓝图 II	169
小型能量武器急转控制器蓝图 II	16
中型能量武器急转控制器蓝图 II	6
小型混合武器范围扩大装置蓝图 II	2
中型混合武器范围扩大装置蓝图 II	3
小型混合武器急转控制器蓝图 II	1
小型火箭燃料缓冲隔离装置蓝图 II	6
小型射弹武器冲击加速器蓝图 II	1
小型射弹武器急转控制器蓝图 II	3
小型热能护盾强化装置蓝图 II	90
小型核心防御力场稳固装置蓝图 II	61
小型核心防御操控稳定装置蓝图 II	7
小型横贯舱壁蓝图 II	16
微晶合金反应配方	68
菲尔合金反应配方	58
碳聚合物反应配方	262
陶瓷粉末反应配方	78
铂锝合金反应配方	14
