小型辅助推进器 II	184
中型能量武器轨迹校准设备 II	169
中型核心防御力场扩张装置 I	438
280mm榴弹炮 I	1405
标准晶体 L	1549
小型能量武器发散调节装置 II	223
小型核心防御力场稳固装置 II	61
小型能量武器轨迹校准设备 II	280
冰雹 S	2635000
微波晶体 L	1484
小型射弹武器轨迹校准设备 I	690
5MN微型跃迁推进器 I	496
小型护盾扩展装置 I	1498
小型能量武器冲击加速器 II	106
小型处理器超频组件 I	1537
中型远程维修增效器 I	61
定相等离子弹 L	571100
极光 S	1844
小型热能护盾强化装置 II	90
中型混合武器冲击加速器 I	27
多频晶体 M	2178
惯性稳定器 I	1738
大型热能装甲强化装置 I	13
地精灵 I	7520
火箭发射器 I	781
多频晶体 S	2806
中型混合武器射速调节装置 I	21
标准晶体 M	2395
碳化晶体	1360000
中型装甲维修器 I	118
巡航导弹发射器 I	226
强化舱隔壁 II	226
小型远程装甲维修器 II	58
小型电磁装甲强化装置 II	9
小型核心防御操控稳定装置 II	7
反应堆控制元件 I	298
目标标记装置 I	271
菲尔合金碳化物	1160000
大型能量武器轨迹校准设备 I	9
全方位索敌连接 I	96
中型混合武器范围扩大装置 II	3
富勒化合物	84000
碳聚合物	52400
聚变弹 S	1237400
鞭挞轻型导弹	693000
中型混合武器急转控制器 I	12
微晶合金	13600
中型能量武器急转控制器 II	6
小型混合武器轨迹校准设备 I	92
小型横贯舱壁 II	16
X射线晶体 S	573
电容能源继电器 I	186
小型电容器电池 I	240
铂锝合金	2800
小型能量武器急转控制器 II	16
小型能量武器发散调节装置 I	75
大型处理器超频组件 I	15
75mm加特林磁轨炮 I	400
紫外晶体 M	610
小型能量武器轨迹校准设备 I	170
小型护盾回充增量器 I	193
小型能量武器冲击加速器 I	66
小型核心防御力场稳固装置 I	81
小型火箭燃料缓冲隔离装置 II	6
小型弹头强化辅助系统 I	59
小型装甲维修器 I	156
150mm磁轨炮 I	323
125mm磁轨炮 I	190
射频晶体 S	663
125mm加特林自动加农炮 I	445
中型能量武器冲击加速器 I	14
菲尔合金	11600
索敌计算机 I	192
红外晶体 M	576
轻型离子疾速炮 I	196
轻型电子疾速炮 I	125
双联150mm磁轨炮 I	52
大型电容器电池 I	27
小型能量中和器 I	133
中型混合武器轨迹校准设备 I	6
陶瓷粉末	15600
碳铅弹 S	305900
导弹制导增强器 I	87
导弹制导计算机 I	347
小型弹头爆燃辅助系统 I	44
小型射弹武器急转控制器 II	3
紫外晶体 S	1055
电容通量线圈 I	86
小型能量武器范围扩大设备 II	7
强化舱隔壁 I	226
小型混合武器急转控制器 I	7
小型混合武器范围扩大装置 I	9
大型爆炸护盾强化装置 I	5
制导干扰器 I	46
小型远程护盾回充增量器 I	48
标准晶体 S	1230
中型能量中和器 I	24
质子弹 S	53800
信号放大器 I	84
小型电磁装甲强化装置 I	15
小型混合武器范围扩大装置 II	2
100mm钢附甲板 I	35
能源诊断系统 II	7
小型核心防御操控稳定装置 I	11
小型横贯舱壁 I	10
小型射弹武器冲击加速器 II	1
硬钼弹 S	343600
小型混合武器急转控制器 II	1
小型能量武器急转控制器 I	6
红外晶体 S	654
双联轻型集束激光器 I	55
小型混合武器射速调节装置 I	2
小型远程装甲维修器 I	53
小型能量武器范围扩大设备 I	4
中型能量武器范围扩大设备 II	1
小型装甲维修器 II	1
小型热能护盾强化装置 I	8
中型处理器超频组件 I	1
能源诊断系统 I	7
小型弹头加热辅助系统 I	1
电容回充器 I	1
雷神轻型导弹	700
